OBJECTID,globalid,Shape_Length,Shape_Area,co2_per_ha,co2_per_px,tile_id
23,{AF16688B-41FD-44F7-A60D-F5E6AECF3490},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_010W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_010W_tCO2_pixel_AGB_masked_by_loss.tif,10N_010W
24,{82D2E825-83E8-413F-AB83-3A253486503E},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_020E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_020E_tCO2_pixel_AGB_masked_by_loss.tif,10N_020E
25,{521C9F69-DECF-4469-A9A0-C78B1DC01EAB},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_020W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_020W_tCO2_pixel_AGB_masked_by_loss.tif,10N_020W
26,{E4341000-240D-4201-975B-FCD164A49178},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_030E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_030E_tCO2_pixel_AGB_masked_by_loss.tif,10N_030E
27,{E968BC4B-39A5-42A6-994E-551DC51DA986},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_040E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_040E_tCO2_pixel_AGB_masked_by_loss.tif,10N_040E
28,{7DAC0035-A37E-46CB-BB63-875A7D81360D},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_050W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_050W_tCO2_pixel_AGB_masked_by_loss.tif,10N_050W
29,{1DBE5EE4-3D58-44A6-8D6D-AFD5C14F64D8},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_060W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_060W_tCO2_pixel_AGB_masked_by_loss.tif,10N_060W
30,{9943E26C-F525-4D0D-A0F3-26280D0B1622},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_070E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_070E_tCO2_pixel_AGB_masked_by_loss.tif,10N_070E
31,{2CF2492F-CCA9-4B4A-8E49-E1B349B527BA},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_070W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_070W_tCO2_pixel_AGB_masked_by_loss.tif,10N_070W
32,{B930B991-7C95-41E5-A42D-A2BF84B3B1A3},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_080E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_080E_tCO2_pixel_AGB_masked_by_loss.tif,10N_080E
33,{6252D969-F8A9-433D-BCEF-CAC1A3B5C4AA},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_080W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_080W_tCO2_pixel_AGB_masked_by_loss.tif,10N_080W
34,{E2220058-97BA-42F3-A74B-6C6D63503C47},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_090E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_090E_tCO2_pixel_AGB_masked_by_loss.tif,10N_090E
35,{E161F334-6729-4B20-8954-403F1428AF39},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_090W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_090W_tCO2_pixel_AGB_masked_by_loss.tif,10N_090W
36,{6F59BD33-2098-4B28-9871-71C436AC4AC4},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_100E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_100E_tCO2_pixel_AGB_masked_by_loss.tif,10N_100E
